participant_id,quality_antecedent_identification,quality_consequence_identification,quality_setting_event_identification,quality_core_function_hypothesis,quality_replacement_behavior_recommendation,quality_overall_rating,human_fba_similarity_antecedent_identification,human_fba_similarity_consequence_identification,human_fba_similarity_setting_event_identification,human_fba_similarity_core_function_hypothesis,human_fba_similarity_replacement_behavior_recommendation,human_fba_similarity_overall_rating,general_ai_similarity_antecedent_identification,general_ai_similarity_consequence_identification,general_ai_similarity_setting_event_identification,general_ai_similarity_core_function_hypothesis,general_ai_similarity_replacement_behavior_recommendation,general_ai_similarity_overall_rating
P001,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,,,,,
P002,3.0,4.0,4.0,4.0,3.0,4.0,,,,,,,3.0,3.0,3.0,3.0,2.0,3.0
P003,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,
P004,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P005,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0
P006,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,
P007,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,,,,,,
P008,4.0,2.0,1.0,4.0,1.0,1.0,,,,,,,4.0,5.0,4.0,4.0,4.0,4.0
P009,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,,,,,
P010,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,
P011,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,
P012,2.0,1.0,2.0,3.0,1.0,2.0,,,,,,,3.0,2.0,1.0,2.0,2.0,3.0
P013,4.0,5.0,4.0,5.0,5.0,5.0,,,,,,,3.0,2.0,4.0,2.0,1.0,3.0
P014,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,
P015,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,
P016,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,
P017,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,
P018,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0
P019,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,
P020,4.0,5.0,4.0,3.0,4.0,4.0,,,,,,,3.0,2.0,2.0,3.0,2.0,3.0
P021,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,,3.0,4.0,3.0,2.0,4.0,3.0
P022,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0
P023,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,,,,,,
P024,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,
P025,5.0,5.0,5.0,4.0,5.0,5.0,,,,,,,4.0,4.0,5.0,4.0,4.0,5.0
P026,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,3.0,2.0,3.0,2.0,3.0,2.0
P027,5.0,4.0,5.0,5.0,4.0,4.0,,,,,,,4.0,5.0,4.0,4.0,4.0,4.0
P028,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,,,,,,
P029,4.0,5.0,4.0,4.0,5.0,5.0,,,,,,,4.0,3.0,4.0,3.0,4.0,4.0
P030,4.0,4.0,4.0,4.0,5.0,5.0,,,,,,,4.0,4.0,3.0,2.0,2.0,3.0
P031,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,
P032,,,,,,,5.0,4.0,5.0,3.0,3.0,4.0,,,,,,
P033,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0
P034,3.0,4.0,3.0,5.0,4.0,4.0,,,,,,,3.0,3.0,3.0,4.0,4.0,3.0
P035,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,,,,,
P036,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P037,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,
P038,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P039,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,4.0,4.0,3.0,3.0,2.0,2.0
P040,4.0,5.0,4.0,3.0,4.0,4.0,,,,,,,4.0,3.0,3.0,2.0,3.0,3.0
P041,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,
P042,,,,,,,5.0,3.0,5.0,4.0,5.0,5.0,,,,,,
P043,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,
P044,5.0,4.0,5.0,4.0,3.0,4.0,,,,,,,4.0,3.0,2.0,2.0,2.0,3.0
P045,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,
P046,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,,3.0,2.0,2.0,1.0,3.0,3.0
P047,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,2.0,3.0,2.0,3.0,3.0,2.0
P048,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,
P049,4.0,4.0,5.0,5.0,5.0,5.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0
P050,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,,,,,
P051,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,,3.0,4.0,2.0,2.0,4.0,3.0
P052,4.0,5.0,3.0,3.0,4.0,4.0,,,,,,,2.0,2.0,4.0,3.0,2.0,3.0
P053,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,,,,,,
P054,4.0,4.0,5.0,5.0,4.0,4.0,,,,,,,2.0,3.0,3.0,2.0,3.0,3.0
P055,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0
P056,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,
P057,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,,,,,
P058,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,,,,,,
P059,4.0,3.0,5.0,3.0,4.0,4.0,,,,,,,2.0,3.0,2.0,2.0,3.0,3.0
P060,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P061,5.0,4.0,4.0,4.0,5.0,4.0,,,,,,,2.0,3.0,2.0,1.0,3.0,3.0
P062,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,
P063,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0
P064,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
P065,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0
P066,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,
P067,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,
P068,4.0,5.0,3.0,5.0,4.0,4.0,,,,,,,3.0,4.0,3.0,4.0,4.0,3.0
P069,5.0,4.0,5.0,5.0,4.0,4.0,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0
P070,4.0,3.0,5.0,4.0,4.0,4.0,,,,,,,2.0,3.0,3.0,3.0,3.0,2.0
P071,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,,2.0,1.0,1.0,2.0,1.0,2.0
P072,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,,,,,
P073,5.0,5.0,4.0,5.0,5.0,4.0,,,,,,,4.0,4.0,5.0,3.0,4.0,3.0
P074,3.0,4.0,4.0,4.0,3.0,4.0,,,,,,,3.0,3.0,2.0,2.0,3.0,3.0
P075,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,
P076,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,
P077,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,,3.0,2.0,1.0,2.0,1.0,2.0
P078,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,,,,,,
P079,5.0,5.0,4.0,5.0,3.0,4.0,,,,,,,5.0,2.0,2.0,2.0,1.0,2.0
P080,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,,,,,,
P081,4.0,4.0,5.0,5.0,5.0,4.0,,,,,,,3.0,2.0,1.0,2.0,3.0,3.0
P082,4.0,4.0,5.0,5.0,4.0,4.0,,,,,,,2.0,3.0,2.0,2.0,3.0,2.0
P083,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,,,,,,
P084,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,
