evaluation,measure,score_set,dimension,rating,n,proportion
Evaluation 1,Teacher report quality,not_applicable,Antecedent identification,1.0,0,0.0
Evaluation 1,Teacher report quality,not_applicable,Antecedent identification,2.0,2,0.0165289256198347
Evaluation 1,Teacher report quality,not_applicable,Antecedent identification,3.0,8,0.0661157024793388
Evaluation 1,Teacher report quality,not_applicable,Antecedent identification,4.0,80,0.6611570247933884
Evaluation 1,Teacher report quality,not_applicable,Antecedent identification,5.0,31,0.256198347107438
Evaluation 1,Teacher report quality,not_applicable,Consequence identification,1.0,1,0.0082644628099173
Evaluation 1,Teacher report quality,not_applicable,Consequence identification,2.0,3,0.024793388429752
Evaluation 1,Teacher report quality,not_applicable,Consequence identification,3.0,10,0.0826446280991735
Evaluation 1,Teacher report quality,not_applicable,Consequence identification,4.0,56,0.4628099173553719
Evaluation 1,Teacher report quality,not_applicable,Consequence identification,5.0,51,0.4214876033057851
Evaluation 1,Teacher report quality,not_applicable,Setting-event identification,1.0,1,0.0082644628099173
Evaluation 1,Teacher report quality,not_applicable,Setting-event identification,2.0,3,0.024793388429752
Evaluation 1,Teacher report quality,not_applicable,Setting-event identification,3.0,12,0.0991735537190082
Evaluation 1,Teacher report quality,not_applicable,Setting-event identification,4.0,63,0.5206611570247934
Evaluation 1,Teacher report quality,not_applicable,Setting-event identification,5.0,42,0.3471074380165289
Evaluation 1,Teacher report quality,not_applicable,Core function hypothesis,1.0,0,0.0
Evaluation 1,Teacher report quality,not_applicable,Core function hypothesis,2.0,2,0.0165289256198347
Evaluation 1,Teacher report quality,not_applicable,Core function hypothesis,3.0,12,0.0991735537190082
Evaluation 1,Teacher report quality,not_applicable,Core function hypothesis,4.0,60,0.4958677685950413
Evaluation 1,Teacher report quality,not_applicable,Core function hypothesis,5.0,47,0.3884297520661157
Evaluation 1,Teacher report quality,not_applicable,Replacement-behavior recommendation,1.0,2,0.0165289256198347
Evaluation 1,Teacher report quality,not_applicable,Replacement-behavior recommendation,2.0,1,0.0082644628099173
Evaluation 1,Teacher report quality,not_applicable,Replacement-behavior recommendation,3.0,13,0.1074380165289256
Evaluation 1,Teacher report quality,not_applicable,Replacement-behavior recommendation,4.0,62,0.512396694214876
Evaluation 1,Teacher report quality,not_applicable,Replacement-behavior recommendation,5.0,43,0.3553719008264462
Evaluation 1,Teacher report quality,not_applicable,Overall rating,1.0,1,0.0082644628099173
Evaluation 1,Teacher report quality,not_applicable,Overall rating,2.0,1,0.0082644628099173
Evaluation 1,Teacher report quality,not_applicable,Overall rating,3.0,7,0.0578512396694214
Evaluation 1,Teacher report quality,not_applicable,Overall rating,4.0,87,0.71900826446281
Evaluation 1,Teacher report quality,not_applicable,Overall rating,5.0,25,0.2066115702479339
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Antecedent identification,1.0,0,0.0
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Antecedent identification,2.0,0,0.0
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Antecedent identification,3.0,5,0.0666666666666666
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Antecedent identification,4.0,57,0.76
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Antecedent identification,5.0,13,0.1733333333333333
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Consequence identification,1.0,1,0.0133333333333333
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Consequence identification,2.0,0,0.0
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Consequence identification,3.0,7,0.0933333333333333
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Consequence identification,4.0,50,0.6666666666666666
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Consequence identification,5.0,17,0.2266666666666666
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Setting-event identification,1.0,0,0.0
Evaluation 1,Similarity to practitioner-conducted FBA,not_applicable,Setting-event identification,2.0,0,0.0
