study,sample,measure,score_set,dimension,rating,n,proportion
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Antecedent identification,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Antecedent identification,2,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Antecedent identification,3,1,0.01694915254237288
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Antecedent identification,4,36,0.6101694915254238
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Antecedent identification,5,22,0.3728813559322034
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Consequence identification,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Consequence identification,2,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Consequence identification,3,3,0.05084745762711865
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Consequence identification,4,26,0.4406779661016949
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Consequence identification,5,30,0.5084745762711864
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Setting-event identification,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Setting-event identification,2,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Setting-event identification,3,5,0.0847457627118644
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Setting-event identification,4,31,0.5254237288135594
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Setting-event identification,5,23,0.3898305084745763
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Core function hypothesis,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Core function hypothesis,2,1,0.01694915254237288
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Core function hypothesis,3,5,0.0847457627118644
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Core function hypothesis,4,29,0.4915254237288136
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Core function hypothesis,5,24,0.4067796610169492
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Replacement-behavior recommendation,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Replacement-behavior recommendation,2,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Replacement-behavior recommendation,3,2,0.03389830508474576
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Replacement-behavior recommendation,4,28,0.4745762711864407
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Replacement-behavior recommendation,5,29,0.4915254237288136
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Overall rating,1,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Overall rating,2,0,0.0
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Overall rating,3,2,0.03389830508474576
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Overall rating,4,40,0.6779661016949152
practitioner_referenced_similarity_evaluation,Practitioner-referenced teacher records,Teacher-perceived quality ratings,not_applicable,Overall rating,5,17,0.288135593220339
