study,sample,measure,score_set,dimension,n,mean,sd,median,q1,q3,iqr,median_iqr,rating_at_least_4_n,rating_at_least_4_proportion,rating_at_least_4_ci_95_low,rating_at_least_4_ci_95_high,rating_at_least_4_ci_method,rating_1_n,rating_1_proportion,rating_2_n,rating_2_proportion,rating_3_n,rating_3_proportion,rating_4_n,rating_4_proportion,rating_5_n,rating_5_proportion,noninteger_rating_n,distribution_count_total
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Antecedent identification,4,3.5,1.0,3.0,3.0,3.5,0.5,3.00 (3.00-3.50),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,3,0.75,0,0.0,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Consequence identification,4,3.5,1.9148542155126762,4.0,2.5,5.0,2.5,4.00 (2.50-5.00),2,0.5,0.15003898915214947,0.8499610108478506,Wilson,1,0.25,0,0.0,1,0.25,0,0.0,2,0.5,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Setting-event identification,4,2.75,1.2583057392117916,3.0,2.5,3.25,0.75,3.00 (2.50-3.25),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,1,0.25,0,0.0,2,0.5,1,0.25,0,0.0,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Core function hypothesis,4,3.75,1.2583057392117916,4.0,3.5,4.25,0.75,4.00 (3.50-4.25),3,0.75,0.30064184258240184,0.9544127391902995,Wilson,0,0.0,1,0.25,0,0.0,2,0.5,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Replacement-behavior recommendation,4,3.5,1.7320508075688772,4.0,3.25,4.25,1.0,4.00 (3.25-4.25),3,0.75,0.30064184258240184,0.9544127391902995,Wilson,1,0.25,0,0.0,0,0.0,2,0.5,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 1,Overall rating,4,3.45,0.6137317546507322,3.25,3.0,3.7,0.7000000000000002,3.25 (3.00-3.70),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,2,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Antecedent identification,4,3.0,0.0,3.0,3.0,3.0,0.0,3.00 (3.00-3.00),0,0.0,0.0,0.4898908364545973,Wilson,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Consequence identification,4,3.0,1.632993161855452,3.0,2.5,3.5,1.0,3.00 (2.50-3.50),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,1,0.25,0,0.0,2,0.5,0,0.0,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Setting-event identification,4,3.25,0.5,3.0,3.0,3.25,0.25,3.00 (3.00-3.25),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,3,0.75,1,0.25,0,0.0,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Core function hypothesis,4,4.25,0.5,4.0,4.0,4.25,0.25,4.00 (4.00-4.25),4,1.0,0.5101091635454027,1.0,Wilson,0,0.0,0,0.0,0,0.0,3,0.75,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Replacement-behavior recommendation,4,4.0,0.816496580927726,4.0,3.75,4.25,0.5,4.00 (3.75-4.25),3,0.75,0.30064184258240184,0.9544127391902995,Wilson,0,0.0,0,0.0,1,0.25,2,0.5,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Round 2,Overall rating,4,3.4,0.5228129047119372,3.25,3.0,3.65,0.6499999999999999,3.25 (3.00-3.65),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,2,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Antecedent identification,4,3.25,0.5,3.0,3.0,3.25,0.25,3.00 (3.00-3.25),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,3,0.75,1,0.25,0,0.0,0,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Consequence identification,4,3.25,1.707825127659933,3.5,2.5,4.25,1.75,3.50 (2.50-4.25),2,0.5,0.15003898915214947,0.8499610108478506,Wilson,1,0.25,0,0.0,1,0.25,1,0.25,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Setting-event identification,4,3.0,0.816496580927726,3.0,2.75,3.25,0.5,3.00 (2.75-3.25),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,1,0.25,2,0.5,1,0.25,0,0.0,0,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Core function hypothesis,4,4.0,0.816496580927726,4.0,3.75,4.25,0.5,4.00 (3.75-4.25),3,0.75,0.30064184258240184,0.9544127391902995,Wilson,0,0.0,0,0.0,1,0.25,2,0.5,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Replacement-behavior recommendation,4,3.75,1.2583057392117916,4.0,3.5,4.25,0.75,4.00 (3.50-4.25),3,0.75,0.30064184258240184,0.9544127391902995,Wilson,0,0.0,1,0.25,0,0.0,2,0.5,1,0.25,0,4
report_quality_evaluation,Experts,Expert quality ratings,Arithmetic mean of rounds,Overall rating,4,3.425,0.5678908345800274,3.25,3.0,3.675,0.6749999999999998,3.25 (3.00-3.67),1,0.25,0.04558726080970055,0.6993581574175981,Wilson,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,2,4
