score_set,dimension,n_experts,n_rating_at_least_4,i_cvi_rating_at_least_4,threshold
Round 1,Antecedent identification,4,1,0.25,rating >= 4
Round 1,Consequence identification,4,2,0.5,rating >= 4
Round 1,Setting-event identification,4,1,0.25,rating >= 4
Round 1,Core function hypothesis,4,3,0.75,rating >= 4
Round 1,Replacement-behavior recommendation,4,3,0.75,rating >= 4
Round 1,Overall rating,4,1,0.25,rating >= 4
Round 2,Antecedent identification,4,0,0.0,rating >= 4
Round 2,Consequence identification,4,1,0.25,rating >= 4
Round 2,Setting-event identification,4,1,0.25,rating >= 4
Round 2,Core function hypothesis,4,4,1.0,rating >= 4
Round 2,Replacement-behavior recommendation,4,3,0.75,rating >= 4
Round 2,Overall rating,4,1,0.25,rating >= 4
Arithmetic mean of rounds,Antecedent identification,4,1,0.25,rating >= 4
Arithmetic mean of rounds,Consequence identification,4,2,0.5,rating >= 4
Arithmetic mean of rounds,Setting-event identification,4,1,0.25,rating >= 4
Arithmetic mean of rounds,Core function hypothesis,4,3,0.75,rating >= 4
Arithmetic mean of rounds,Replacement-behavior recommendation,4,3,0.75,rating >= 4
Arithmetic mean of rounds,Overall rating,4,1,0.25,rating >= 4
